ID,Scholarship,Programme,University,Country,Deadline,Status,Funding,Fee,English,Elig.,Score,Competitiveness,Field,Roy Eligible?,Notes / Action,Official Link
11,Türkiye Burslari (Turkish Government Scholarship) 2027,"MSc in Energy Engineering, Environmental Engineering, Mechanical Engineering",Various Turkish universities,Türkiye,~Jan-Feb 2027 (announced Dec 2026),UPCOMING – Est. Jan 2027,"Fully Funded: tuition + TRY 5,000-7,000/mo + accommodation + flights + Turkish language course",Free,Turkish language course provided; English-taught MSc available at major Turkish universities,PE,77,Good match – achievable,"Engineering, Energy, Water, Mechanical, Environment",PE – 75% academic threshold stated; Kenyan 2nd Class Upper ≈ 66% — verify if Kenyan classification is accepted,Türkiye Burslari places students — no prior admission needed. Accessible for African applicants. Must clarify the 75% academic threshold vs. 2nd Class Upper equivalency. Roy's strong professional profile and certifications may be considered holistically. Monitor turkiyeburslari.gov.tr from Dec 2026.,https://www.turkiyeburslari.gov.tr/
12,Fulbright Foreign Student Program 2028/29,"MSc in Renewable Energy, Environmental Engineering, Sustainable Energy",Various US universities (applicant selects),United States,~Apr 2027 (previous cycle: 19 Jan – 20 Apr 2026),UPCOMING – Est. opens Feb 2027,Fully Funded: tuition + stipend + flights + health insurance,Free,TOEFL or IELTS required; GRE may be required by target US university,LE,80,Good match – achievable,"Energy, Engineering, Water, Environment, Data Science",YES – MBA: no impact; professional experience strengthens application,"Roy's Rauell Systems / SafariCharge (Africa-focused energy planning tool) would stand out enormously in a Fulbright application. US universities in renewable energy: MIT, Stanford, Cornell, Colorado State, Arizona State. TOEFL/IELTS required — register for test early 2027.",https://ke.usembassy.gov/u-s-kenya-exchange-programs/
13,MEXT Research Scholarship 2028,"MSc in Agricultural Engineering, Environmental Engineering, Energy Engineering, Mechanical Engineering",Various Japanese universities,Japan,~May 2027 (previous cycle: 19 May 2026),UPCOMING – Est. Apr-May 2027,"Fully Funded: tuition + JPY 143,000/mo ≈ EUR 880/mo + flights + health insurance",Free,Japanese language training included (6 months); English-taught programmes available,CE,82,Good match – achievable,"Engineering, Agricultural Engineering, Energy, Environmental",YES – Age 26/27 meets cutoff; 2nd Class Upper meets requirement; MBA no impact,"MEXT Research Scholarship specifically accepts agricultural engineering as a field — Roy's BSc ABE from JKUAT qualifies directly. Japan's engineering universities are world-class. Target: Tokyo Tech, Waseda, Kyoto, Tsukuba (strong in agricultural/environmental engineering).",https://www.ke.emb-japan.go.jp/itpr_en/Postgraduate.html
14,Australia Awards Scholarship,"MSc in Infrastructure Engineering, Water Engineering, Energy Engineering",Various Australian universities,Australia,N/A – Roy does not yet meet 5-year experience requirement,INELIGIBLE – PLAN AHEAD FOR 2029/2030 INTAKE,"Fully Funded: tuition + AUD 29,710/yr + flights + visa + health insurance",Free,IELTS 6.5 minimum required,NE,40,Not eligible at this time,"Infrastructure, Energy, Water, Agriculture","NE – ❌ 5-YEAR EXPERIENCE REQUIREMENT NOT MET: Requires minimum 5 years post-graduation work experience as of 1 February of the application year. Roy graduated Dec 2023. He will have ~3.2 years by Feb 2027 and ~4.2 years by Feb 2028. He meets 5 years ~Dec 2028, making the earliest eligible intake 2030.",❌ CURRENTLY INELIGIBLE: Australia Awards requires 5 years post-graduation work experience for African country applicants. Roy graduated Dec 2023 — he meets this requirement approximately December 2028. Plan to apply for the 2029 or 2030 intake (applications ~Feb 2029/2030). This is a very strong scholarship for Roy's future applications. Diarise for 2028.,https://australiaawardsafrica.org/resources/Africa-Profile-2027-Intake.pdf
15,Swedish Institute Scholarship 2027/28,MSc Sustainable Energy Engineering (Lund) / MSc Energy Technology (KTH) / MSc Environmental Engineering,"Lund University, KTH Royal Institute of Technology, Chalmers, Uppsala and 700+ others",Sweden,Programme application: 15 Jan 2027; SI portal: ~Feb 2027; Programme application opens: 16 Oct 2026,Programme application opens 16 Oct 2026,"Fully Funded: tuition paid directly + SEK 12,000/mo ≈ EUR 1,065/mo living allowance",~USD 95 application fee (universityadmissions.se),IELTS 6.5 or TOEFL 90; Kenyan English education may not auto-waive — check,LE,84,Strong match – realistic,"Sustainable Energy, Renewable Energy, Environmental Engineering, Water",YES – SI explicitly values leadership; Roy's Africa Fellow + Youth Parliament for Water is exactly what SI looks for,Swedish Institute places enormous weight on leadership experience and contribution to sustainable development — both Roy's strongest areas. Lund MSc Sustainable Energy Engineering is a top match. START PROGRAMME APPLICATION at universityadmissions.se from 16 Oct 2026. Note: IELTS or MOI letter needed — request MOI from JKUAT now.,https://si.se/en/apply/scholarships/swedish-institute-scholarships-for-global-professionals/
16,JJ/WBGSP – Joint Japan World Bank Graduate Scholarship 2027,"MSc in Water and Sustainable Development, Energy Policy, Environmental Management","41 partner universities (IHE Delft, ANU, UCL, Columbia, Manchester, Wageningen, etc.)",Multiple countries,~Jan-Feb 2027 (Window 1); ~Mar-May 2027 (Window 2),UPCOMING – Est. Jan 2027,Fully Funded: tuition + monthly stipend + flights + USD 600 travel allowance + health insurance,Free,Depends on host university; English proficiency required,PE,82,Good match – achievable,"Water, Sustainable Development, Energy Policy, Climate, Agriculture",PE – Must confirm currently enrolled in development-related employment (✅ Roam Electric); check if MBA enrollment affects eligibility,Roy is currently employed in development-related work at Roam Electric (clean energy transition). IHE Delft (Netherlands) specialises in water — Roy's water background + QGIS + Kenya Youth Parliament for Water is an ideal application. Verify MBA rule before applying. Bachelor's must be 3+ years old (Dec 2023 = meets requirement by Jan 2027).,https://www.worldbank.org/en/programs/scholarships
17,RESCO Erasmus Mundus (2027 intake – next cycle),MSc in Renewable Energy and Sustainable Construction,"Univ. of A Coruña (Spain), Budapest Univ. of Technology (Hungary), Univ. of Le Havre (France), Univ. of Minho (Portugal), INSA Rouen (France)",Spain / Hungary / France / Portugal,~28 Feb 2027 (est. based on previous cycle),OPENING SOON – Est. Oct-Nov 2026,"Fully Funded: €1,400/mo + full tuition waiver + installation support + travel",Free,B2 English (IELTS/TOEFL/Cambridge/TOEIC or equivalent); MOI letter likely accepted — confirm,LE,85,Strong match – realistic,"Renewable Energy, Sustainable Construction, Energy Systems, Solar",YES – open to all nationalities; AEC/Engineering degree required (ABE qualifies),RESCO explicitly lists 'AEC-related discipline' — Roy's ABE degree qualifies. His PVsyst/HOMER tools and solar/hybrid system design experience are exactly what RESCO trains for. Monitor resco-master.eu from Oct 2026. Request MOI letter from JKUAT now.,https://resco-master.eu/
18,DENSYS Erasmus Mundus (2027 intake – next cycle),MSc in Decentralised Smart Energy Systems,"Université de Lorraine (France), UPC Barcelona (Spain), Aalto University (Finland)",France / Spain / Finland,~Jan 2027 (previous cycle: 26 Jan 2026),OPENING SOON – Est. Nov 2026,"Fully Funded: €1,400/mo + full tuition waiver + travel support",Free,B2 English; MOI letter likely accepted,LE,82,Good match – achievable,"Smart Grids, Decentralised Energy, AI for Energy, IoT, Battery Systems, EV",YES – open to all nationalities; engineering background required,Roy's SafariCharge (solar/storage/EV planning tool) + battery training (Siemens Stiftung) + Power BI energy monitoring + HOMER/PVsyst = extraordinarily strong DENSYS application. AI for energy and IoT are DENSYS specialisations. Monitor densys.univ-lorraine.fr from Nov 2026.,https://densys.univ-lorraine.fr/
19,EMSSE Erasmus Mundus (2027 intake – next cycle),MSc in Sustainable Systems Engineering,"IMT Mines Alès (France), Univ. Politecnica Marche (Italy), Univ. of Girona (Spain)",France / Italy / Spain,~Feb 2027 (previous cycle: 15 Feb 2026),OPENING SOON – Est. Nov 2026,"Fully Funded: €1,400/mo + full tuition waiver + mobility support",Free,B2 English; IELTS or MOI letter,LE,78,Good match – achievable,"Sustainable Systems, Circular Economy, Industrial Sustainability, Climate",YES – open to all nationalities; engineering degree required,"Sustainable systems engineering aligns with Roy's energy, water and circular economy training work. Less field-specific than RESCO/DENSYS but an excellent option. Monitor emsse.eu from Nov 2026.",https://emsse.eu/
20,STEPS Erasmus Mundus (2027 intake – next cycle),MSc in Sustainable Transportation and Electrical Power Systems,"Univ. of Oviedo (Spain), Univ. of Bologna (Italy), Northumbria University (UK)",Spain / Italy / UK,~Dec 2026 (previous cycle: 31 Dec 2025),OPENING SOON – Est. Oct-Nov 2026,"Fully Funded: €1,400/mo + full tuition waiver",Free,B2 English; IELTS or MOI letter,PE,77,Good match – achievable,"Electric Mobility, EV Technology, Power Systems, Sustainable Transport",PE – Electrical/Electronic Engineering preferred; ABE is adjacent; contact programme coordinator,"Roy's EV charging infrastructure work (7-station rollout, EMAK/EPRA engagement), Electric Mobility certification, and SafariCharge (EV planning) directly overlap STEPS content. The background mismatch (ABE vs. EEE) is the main risk — email the programme coordinator to ask if ABE graduates with EV sector experience have been accepted. Monitor emjmdsteps.eu from Oct 2026.",https://www.emjmdsteps.eu/
21,DCMAPS Erasmus Mundus 2027 (NEW – not yet open),MSc in HVDC and Converter-Based Power Systems Engineering,Coordinator: Spain (consortium TBC — selected 16 Jul 2026),Spain and partners (TBC),Autumn 2026 (exact date TBC),NOT YET OPEN – Monitor from Sep 2026,"Fully Funded: €1,400/mo + full tuition waiver",Free,TBC when programme website published,PE,73,Competitive – worth applying,"HVDC, Power Systems, Smart Grids, Energy Transmission, Converter Systems",PE – Electrical engineering background likely preferred; contact programme when website launches,"HVDC and converter-based systems are the future of grid interconnection and renewable energy integration. Roy's exposure to power systems via EV charging, EPRA engagement and energy planning is relevant but an EEE background is likely preferred. Monitor Erasmus+ and erasmuscatalogue.com from Sep 2026.",https://erasmuscatalogue.com/erasmus-mundus-catalogue-update-2027/
22,ME3-4S Erasmus Mundus 2027 (NEW – not yet open),MSc Management and Engineering of Environment and Energy for a Sustainable Future,"IMT Atlantique (France, coordinator) + partners TBC",France and partners (TBC),Autumn 2026 (exact date TBC),NOT YET OPEN – Monitor from Sep 2026,"Fully Funded: €1,400/mo + full tuition waiver",Free,B2 English (based on predecessor ME3+ requirements),LE,83,Good match – achievable,"Energy Engineering, Environmental Engineering, Energy Management, Sustainability",YES – based on predecessor programme requirements; confirm eligibility when portal launches,"IMT Atlantique is one of France's top engineering grandes écoles. ME3-4S (successor to ME3+) combines engineering, management and ICT for the energy and environmental transition — closely matching Roy's energy engineering + MBA combination. Monitor imt-atlantique.fr and erasmus+ from Sep 2026.",https://www.imt-atlantique.fr/en/study/masters/emjmd/me3plus
23,WAVES Erasmus Mundus 2027 (NEW – not yet open),MSc in Water Vulnerability Engineering in Spatial Sciences,Coordinator: Netherlands (TBC — selected 16 Jul 2026),Netherlands and partners (TBC),Autumn 2026 (exact date TBC),NOT YET OPEN – Monitor from Sep 2026,"Fully Funded: €1,400/mo + full tuition waiver",Free,TBC when programme website published,LE,80,Good match – achievable,"Water Engineering, Water Resources, Climate Resilience, Spatial Science, GIS",YES – water + spatial science aligns with ABE background; confirm when portal opens,"WAVES water vulnerability engineering + spatial sciences is highly aligned with Roy's QGIS spatial mapping skills, Kenya Youth Parliament for Water coordination, borehole/irrigation project experience. Netherlands universities (Delft, Wageningen, IHE) are world leaders in water engineering. Monitor Erasmus+ and erasmuscatalogue.com.",https://erasmuscatalogue.com/erasmus-mundus-catalogue-update-2027/
24,Mastercard Foundation Scholars Program,"MSc at partner universities (Edinburgh, Cornell, AIMS, McGill, African universities)",62+ partner universities globally,Multiple countries,Varies by partner university (typically Oct-Jan for Sep start),VARIES – check each partner,Fully Funded: tuition + accommodation + living allowance + mentoring + airfare,Free,Varies by university,CE,83,Good match – achievable,"Engineering, Energy, Sustainability, Agriculture, Water, Data Science",YES – transformative African leadership focus; Roy's community training and Africa Fellow status ideal,"Roy is near-perfect for Mastercard Foundation: proven transformative leadership (Africa Fellow, Youth Parliament for Water), community trainer (rural solar/RE/circular economy), technology entrepreneur (SafariCharge for African markets), development impact (KES 50M+ investment, biogas systems). Check AIMS, Ashesi, and African partner universities for engineering MSc availability.",https://mastercardfdn.org/en/what-we-do/our-programs/mastercard-foundation-scholars-program/
25,Swedish Institute – ARUA Scholarship,MSc Sustainable Energy Engineering / Environmental Studies and Sustainability Science,Lund University (ARUA partner network),Sweden,15 Jan 2027 (programme application); scholarship spring 2027,Programme application opens 16 Oct 2026,Partial to Full: tuition + possibly living allowance (ARUA-specific terms vary),~USD 95 application fee,IELTS 6.5; check if JKUAT ARUA membership enables additional support,PE,72,Good match – achievable,"Sustainable Energy, Environmental Studies, Sustainability Science",PE – Check if JKUAT is an ARUA member to access ARUA-specific scholarship; SI main scholarship is higher priority,"The ARUA (African Research Universities Alliance) scholarship at Lund is additional support for students from ARUA member universities. Check whether JKUAT is an ARUA member. Even without ARUA, the Swedish Institute main scholarship (Record 15) covers Lund programmes.",https://www.lunduniversity.lu.se/study/bachelors-and-masters-studies/scholarships-and-awards/lund-university-global-scholarship
26,JJ/WBGSP – IHE Delft Water Track,MSc in Water and Sustainable Development,IHE Delft Institute for Water Education (Netherlands),Netherlands,~Jan-Feb 2027 (via JJ/WBGSP),UPCOMING – Est. Jan 2027,Fully Funded: tuition + stipend + flights + USD 600 travel + health insurance,Free,IELTS 6.5 or TOEFL 90 (IHE Delft requirement); MOI letter – confirm,CE,84,Strong match – realistic,"Water Engineering, WASH, Irrigation, Water Resources, Water Policy","YES – water engineering, currently employed in development, bachelor's 3+ years old","IHE Delft is the world's largest water education institute. Roy's ABE degree (irrigation, hydrology, water supply), QGIS mapping, Kenya Youth Parliament for Water, borehole/pumping projects, and current employment in clean energy = outstanding profile. Apply via JJ/WBGSP Window 1 (~Jan 2027). This deserves special attention as a top-5 water scholarship.",https://www.un-ihe.org/jjwbgsp
27,OFID/GIZ Renewable Energy Scholarship,MSc in Renewable Energy Engineering or Renewable Energy Management,OFID/GIZ partner universities (Germany and elsewhere),Germany / others,TBD – OFID paused programme; monitor opecfund.org,STATUS UNCLEAR – Programme under restructuring,Fully Funded (tuition + stipend + travel; details TBC after restructure),Free (when open),English B2 required,PE,68,Competitive – worth applying when open,"Renewable Energy, Energy Efficiency, Climate, Solar PV","PE – when programme reopens, Sub-Saharan Africa is eligible; Roy's profile would be excellent","OFID/GIZ previously offered scholarships for young energy professionals from developing countries — Roy's profile (solar PV design, HOMER, battery, EV, EPRA) would be among the best possible candidates when this reopens. Monitor opecfund.org.",https://opecfund.org/operations/list/ofid-giz-scholarships-in-renewable-energy-and-energy-efficiency
28,African Development Bank – Japan Africa Dream Scholarship,MSc in Energy Development and related disciplines,"Ritsumeikan Asia Pacific University (APU), Japan",Japan,Check AfDB website – usually opens Jan/Feb,UPCOMING – Check AfDB website,Fully Funded: tuition + stipend + flights + health insurance,Free,IELTS or TOEFL required; English-taught programme,LE,75,Good match – achievable,"Energy, Agriculture, Environment, Development","YES – African professionals, development focus, engineering background valued",AfDB-Japan specifically targets African professionals in energy and development. Roy's 3+ years in solar/EV/biogas in Kenya with real investment impact (KES 50M+) is compelling. Monitor AfDB scholarship website from Jan 2027.,https://admissions.apu.ac.jp/graduate/how_to_apply/external_scholarship/AfDB_JADS/
29,TU Delft Sub-Saharan Africa Excellence Scholarship,MSc in Sustainable Energy Technology (SET),Delft University of Technology,Netherlands,~1 Dec 2026 (est. based on previous cycle),UPCOMING – Est. Dec 2026,Partial to Full: full tuition + contribution to living costs,~EUR 100 application fee (Osiris portal),IELTS 6.5 or TOEFL 90; English taught,PE,70,Competitive – worth applying,"Sustainable Energy, Renewable Energy, Solar, Battery, Power Systems",PE – GPA ≥80% of scale maximum required (Roy at 66% = below 80%); contact TU Delft to discuss profile,"GPA threshold (80% of scale) is the main challenge. Roy's professional portfolio (HOMER, PVsyst, battery training, EV infrastructure, SafariCharge) is extraordinary and may allow a holistic review. Contact TU Delft MSc SET admissions to discuss whether professional achievements can be considered alongside GPA. The programme itself (not just scholarship) is excellent.",https://www.tudelft.nl/en/education/study-programme-orientation/practical-matters/scholarships
30,KAIST Global Fellowship,"MSc in Energy Policy, Smart Grid Technology, Electric Vehicle Technology",Korea Advanced Institute of Science and Technology,South Korea,~Dec 2026 – Feb 2027 (confirm on kaist.ac.kr),UPCOMING – Est. Dec 2026,"Fully Funded: full tuition + KRW 900,000/mo + research funding",Free,TOEFL 83 or IELTS 6.5; English-taught,LE,75,Competitive – worth applying,"Smart Grid, EV Technology, Energy Policy, AI for Energy, Battery",YES – international students eligible; engineering + energy experience highly valued,"KAIST is Asia's MIT. Roy's SafariCharge product, battery training (Siemens Stiftung), EV infrastructure work (EMAK/EPRA) and Data Fundamentals for Sustainable Mobility certification are highly relevant to KAIST's EV and smart grid research. Strong reach application but well worth attempting alongside GKS.",https://admission.kaist.ac.kr/intl-graduate/
31,Pan African University – PAULESI (Nigeria),"MSc in Life and Earth Sciences (Agricultural Engineering, Environmental Science track)","PAU Institute hosted at University of Ibadan, Nigeria",Nigeria (Africa),~Dec 2026 (est. same cycle as PAUWES),OPENING SOON – Est. Nov/Dec 2026,Fully Funded by African Union: tuition + stipend + accommodation + travel,Free,English medium; no IELTS required for African applicants,CE,78,Good match – achievable,"Agricultural Engineering, Environmental Science, Biosystems, Food/Agriculture",YES – BSc ABE from JKUAT is directly relevant,"PAULESI covers agricultural engineering and environmental science — Roy's core BSc field. African Union scholarship, no IELTS, African applicant. A strong backup to PAUWES. Monitor pau-au.africa alongside PAUWES call.",https://pau-au.africa/
32,Intra-Africa Academic Mobility – INTERACT Africa,MSc in Renewable Energy / Sustainable Agriculture / Climate and Environment,Moi University + African partner universities,Kenya / Multiple African countries,Check interactafrica.mu.ac.ke,VARIES – check current call,Fully Funded: tuition + stipend + accommodation + mobility grant,Free,English medium; no IELTS for African applicants,CE,75,Good match – achievable,"Renewable Energy, Sustainable Agriculture, Climate, Water","YES – Kenyan student, JKUAT-adjacent institution, no IELTS",INTERACT Africa enables mobility between African universities in energy and agricultural fields. No IELTS required. Roy can study at a partner African university under full funding. Check interactafrica.mu.ac.ke for current calls.,https://interactafrica.mu.ac.ke/scholarship/
33,Chinese Government Scholarship (CSC) 2027,"MSc in Energy Engineering, Electrical Engineering, Environmental Engineering, Agricultural Engineering","Top Chinese universities (HUST, Zhejiang, SCUT, BJUT, Tongji, NEU)",China,~Mar 2027 (typical annual cycle; confirm with Chinese Embassy Nairobi),UPCOMING – Est. Mar 2027,"Fully Funded: tuition + CNY 3,000/mo ≈ EUR 395/mo stipend + accommodation + medical insurance",Free (Embassy route) / ~CNY 400 (direct to university),English-taught programmes available; no HSK required for English-taught,LE,74,Good match – achievable,"Energy Engineering, Electrical Engineering, Agricultural Engineering, Smart Energy",YES – Kenya eligible via Embassy route,"China is world-leading in solar PV manufacturing, EV, battery storage, smart grid — all directly aligned with Roy's work. Apply through Chinese Embassy Nairobi. HUST and SCUT are strong for energy engineering. Contact Embassy for 2027 cycle dates from Feb 2027.",https://www.campuschina.org/
